,url,headline,is_paid,date_published,channel,original_headline,newspaper,corona_score,vaccine
751,https://www.spiegel.de/gesundheit/coronavirus-berlin-setzt-impfungen-mit-astrazeneca-fuer-menschen-unter-60-jahren-aus-a-b79e99fb-79f7-4ef0-8b0b-f01e1ff10686,covid 19 stiko empfehlen astrazeneca 60 jährige,False,2021-03-30,Gesundheit,Covid 19 Stiko empfiehlt AstraZeneca nur noch für über 60 Jährige,Der Spiegel,1.0,n/a
752,https://www.spiegel.de/kultur/tv/klima-vor-8-spricht-mit-rtl-ueber-regelmaessige-klima-sendung-a-1ec5e830-bd0b-41cb-9f0d-cf484205be23,ard zurückhaltung klima acht sprechen rtl regelmäßig format,False,2021-03-30,Kultur,Nach ARD Zurückhaltung Klima vor acht spricht mit RTL über regelmäßiges Format,Der Spiegel,0.625,n/a
755,https://www.spiegel.de/politik/ausland/myanmar-bevoelkerung-wehrt-sich-mit-muellstreik-gegen-militaerdiktatur-a-559e7013-cb2e-4145-ac2d-924fab7b32fd,myanmar aktivisten rufen müllstreik junta,False,2021-03-30,Politik,Myanmar Aktivisten rufen zum Müllstreik gegen die Junta auf,Der Spiegel,0.6,n/a
756,https://www.spiegel.de/politik/deutschland/markus-soeder-kritisiert-armin-laschets-widerstand-angela-merkel-a-74f17cab-7687-4143-9de4-72d90e30b32d,pandemiebekämpfung söder sticheln laschet,False,2021-03-30,Politik,Pandemiebekämpfung Söder stichelt gegen Laschet,Der Spiegel,0.75,n/a
757,https://www.spiegel.de/panorama/gesellschaft/australien-viehwirt-verliert-haus-in-jahrhundertflut-a-7362ec93-bd7e-4949-8acf-1486980b280c,überschwemmungen australien vorm feuer können haus retten vorm wasser,False,2021-03-30,Panorama,Überschwemmungen in Australien Vorm Feuer konnte er sein Haus retten vorm Wasser nicht,Der Spiegel,0.6666666666666666,n/a
759,https://www.spiegel.de/wirtschaft/unternehmen/biontech-meldet-480-millionen-dollar-umsatz-a-30610285-9d3c-49f8-8155-3e34d3bcaa43,impfstoffhersteller coronajahr biontech melden 480 millionen dollar umsatz,False,2021-03-30,Wirtschaft,Impfstoffhersteller im Coronajahr Biontech meldet 480 Millionen Dollar Umsatz,Der Spiegel,1.0,n/a
763,https://www.spiegel.de/gesundheit/diagnose/corona-sollen-juengere-frauen-weiter-mit-astrazeneca-geimpft-werden-a-b2e29b4b-c40b-4537-8b77-0064546b14a1,gefährlich komplikationen warum astrazeneca impfstopp jung gut idee,False,2021-03-30,Gesundheit,Gefährliche Komplikationen Warum der AstraZeneca Impfstopp für Jüngere eine gute Idee ist,Der Spiegel,1.0,n/a
764,https://www.spiegel.de/panorama/bildung/corona-krise-sachsen-oeffnet-schulen-nach-osterferien-unabhaengig-vom-inzidenzwert-a-e9c08a6a-35c5-4ac4-8dbb-d6989d9cb028,osterferien inzidenzwert egal sachsen öffnen schulen,False,2021-03-30,Panorama,Nach den Osterferien Inzidenzwert egal   Sachsen öffnet Schulen,Der Spiegel,0.8333333333333334,n/a
771,https://www.spiegel.de/politik/deutschland/gutachten-bund-kann-laendern-ueber-das-infektionsschutzgesetz-klare-vorgaben-machen-a-4c75708e-20b3-4340-9ac9-804193c95dfd,rechtsgutachten bund dürfen ländern pandemie klaren vorgaben,False,2021-03-30,Politik,Rechtsgutachten Bund darf Ländern in der Pandemie klare Vorgaben machen,Der Spiegel,1.0,n/a
773,https://www.spiegel.de/politik/deutschland/bundestagswahl-2021-armin-laschet-wirbt-fuer-jahrzehnt-der-modernisierung-a-fc4a8b53-4a0f-4709-8c7c-16115c4b3731,schlecht umfragewerte cdu laschet räumen vertrauensverlust,False,2021-03-30,Politik,Schlechte Umfragewerte der CDU Laschet räumt Vertrauensverlust ein,Der Spiegel,0.6666666666666666,n/a
777,https://www.spiegel.de/wissenschaft/mensch/corona-impfungen-infektionsrisiko-bei-mrna-impfstoffen-gering-a-ad73caf7-a0b5-45f3-983d-b1a80bbcee07,coronastudie usa infektionsrisiko mrna impfstoffen gering,False,2021-03-30,Wissenschaft,Coronastudie aus den USA Infektionsrisiko bei mRNA Impfstoffen gering,Der Spiegel,0.6666666666666666,n/a
778,https://www.spiegel.de/wirtschaft/soziales/arbeitszeit-bertelsmann-studie-haelt-angleichung-von-frauen-und-maennern-fuer-moeglich-a-fe2a18fc-4c2b-486d-b74b-e4be22c384f7,studie arbeitszeiten frauen können mehr männer wenig arbeiten,False,2021-03-30,Wirtschaft,Studie zu Arbeitszeiten Frauen könnten mehr Männer weniger arbeiten,Der Spiegel,0.875,n/a
779,https://www.spiegel.de/politik/deutschland/coronavirus-markus-soeder-aeussert-sich-nach-impfgipfel-in-bayern-livestream-a-dfeaaace-34f6-47b0-857e-bcc2b7e6b818,pressekonferenz söder äußern impfgipfel bayern,False,2021-03-30,Politik,Pressekonferenz Söder äußert sich nach Impfgipfel in Bayern,Der Spiegel,1.0,n/a
782,https://www.spiegel.de/politik/deutschland/kanzlerkandidatenfrage-in-der-union-druck-auf-laschet-und-soeder-waechst-a-8a1d21d5-abca-4caa-b29f-303bfeb0191d,kanzlerkandidatenfrage druck laschet söder wachsen,False,2021-03-30,Politik,Kanzlerkandidatenfrage Druck auf Laschet und Söder wächst,Der Spiegel,0.8,n/a
783,https://www.spiegel.de/politik/deutschland/deutschland-beendet-grenzkontrollen-nach-tirol-a-4d78af42-2667-4b13-a78d-166e696c5c40,innenministerium deutschland beenden kontrollen grenze tirol,False,2021-03-30,Politik,Innenministerium Deutschland beendet Kontrollen an Grenze zu Tirol,Der Spiegel,0.8333333333333334,n/a
785,https://www.spiegel.de/politik/deutschland/armin-laschet-was-die-union-gegen-schlechte-umfragewerte-unternehmen-will-livestream-a-9e779092-038e-4e0a-bf83-3100ddba6786,rede cdu wahlprogramm planen armin laschet,False,2021-03-30,Politik,Rede zum CDU Wahlprogramm Was plant Armin Laschet,Der Spiegel,0.8333333333333334,n/a
786,https://www.spiegel.de/wirtschaft/corona-schnelltests-centogene-vorstand-volkmar-weckesser-erklaert-wo-sie-helfen-koennen-und-wo-nicht-a-4ba06997-c0de-4fdf-9af2-6f1400c8312d,experte coronatests schülern einbläuen schon nachmittag infektiös,False,2021-03-30,Wirtschaft,Experte zu Coronatests Man muss Schülern einbläuen dass sie schon am Nachmittag infektiös sein können,Der Spiegel,0.5714285714285714,n/a
788,https://www.spiegel.de/panorama/leute/da-fuehle-ich-mich-auch-als-deutscher-persoenlich-beleidigt-a-be18fd3f-be8c-4bcf-95f4-9ba5521ad733,thomas coronaleugner fühlen deutsch persönlich beleidigen,False,2021-03-30,Panorama,Thomas Anders über Coronaleugner Da fühle ich mich auch als Deutscher persönlich beleidigt,Der Spiegel,0.6666666666666666,n/a
789,https://www.spiegel.de/netzwelt/gadgets/iphone-akku-neun-tipps-mit-denen-sie-die-laufzeit-ihres-iphones-verlaengern-a-bf34af54-3883-462b-b874-d33f1555bf8c,akkuladung sparen neun tipps laufzeit iphones verlängern,False,2021-03-30,Netzwelt,Akkuladung sparen Neun Tipps um die Laufzeit Ihres iPhones zu verlängern,Der Spiegel,0.5714285714285714,n/a
792,https://www.spiegel.de/politik/deutschland/maskenaffaere-berliner-cdu-politiker-niels-korte-verzichtet-auf-kandidatur-fuer-bundestag-a-4f5e1a44-7e78-486c-b7a6-ce67a6f64e41,maskenaffäre berliner cdu politiker korte verzichten kandidatur bundestag,False,2021-03-30,Politik,Maskenaffäre Berliner CDU Politiker Korte verzichtet auf Kandidatur für Bundestag,Der Spiegel,0.75,n/a
796,https://www.spiegel.de/politik/ausland/hongkong-chinas-fuehrung-beschliesst-radikale-wahlrechtsreform-a-e6b81893-db37-4433-8a14-28c30c42f35b,pekingtreue kandidaten chinas führung beschließen radikale wahlrechtsreform hongkong,False,2021-03-30,Politik,Nur pekingtreue Kandidaten Chinas Führung beschließt radikale Wahlrechtsreform für Hongkong,Der Spiegel,0.625,n/a
798,https://www.spiegel.de/politik/ausland/myanmar-mehr-als-500-tote-bei-protesten-gegen-militaerjunta-a-bb65c8eb-cde1-4306-8f8d-8010947b67ca,putsch myanmar aktivisten melden mehr 500 tot protesten militärjunta,False,2021-03-30,Politik,Putsch in Myanmar Aktivisten melden mehr als 500 Tote bei Protesten gegen die Militärjunta,Der Spiegel,0.7777777777777778,n/a
801,https://www.spiegel.de/politik/ausland/islamischer-staat-is-us-regierung-sieht-im-is-noch-immer-eine-grosse-gefahr-a-10c92a04-982d-49c7-a602-e1fecf0a4789,sorge sicherheit us regierung sehen is immer groß gefahr,False,2021-03-30,Politik,Sorge um Sicherheit US Regierung sieht im IS noch immer eine große Gefahr,Der Spiegel,1.0,n/a
803,https://www.spiegel.de/politik/warum-ist-die-inzidenz-in-greiz-so-hoch-a-a5ad5e76-5ce8-4d4e-8cb2-ce68d5f74f21,spiegel daily podcast corona hotspot greiz thüringer landrätin desaster erklären,False,2021-03-30,Politik,SPIEGEL Daily Podcast Corona Hotspot Greiz Wie eine Thüringer Landrätin ein Desaster erklärt,Der Spiegel,1.0,n/a
804,https://www.spiegel.de/wissenschaft/medizin/coronavirus-news-am-dienstag-die-wichtigsten-entwicklungen-zu-sars-cov-2-und-covid-19-a-d603a7e8-2ad8-45af-805b-695f656fda22,corona news dienstag mehr hälfte engländer antikörper,False,2021-03-30,Wissenschaft,Corona News am Dienstag Mehr als die Hälfte der Engländer haben Antikörper,Der Spiegel,1.0,n/a
805,https://www.spiegel.de/politik/deutschland/news-angela-merkel-corona-krise-testpflicht-bundeswehr-ksk-mallorca-syrien-a-57ae7037-ad91-470f-ae49-5ce8b3b711ad,lage morgen deutsch deutschland dürfen,False,2021-03-30,Politik,Die Lage am Morgen Wenn Deutsche nicht nach Deutschland dürfen,Der Spiegel,1.0,n/a
806,https://www.spiegel.de/politik/ausland/corona-krise-in-den-usa-expertin-und-praesident-joe-biden-warnen-vor-vierter-welle-a-17a32d1d-cd37-4927-9e21-e2a49e35901f,warnung viert coronawelle usa drohen unheil,False,2021-03-30,Politik,Warnung vor vierter Coronawelle in den USA Uns droht Unheil,Der Spiegel,0.8333333333333334,n/a
807,https://www.spiegel.de/politik/ausland/donald-trump-nennt-fruehere-berater-anthony-fauci-und-deborah-birx-selbstdarsteller-a-2cc14180-fc16-4275-8411-3a082dd7af19,anthony fauci deborah birx trump nennen früh berater selbstdarsteller,False,2021-03-30,Politik,Anthony Fauci und Deborah Birx Trump nennt frühere Berater Selbstdarsteller,Der Spiegel,0.6666666666666666,n/a
808,https://www.spiegel.de/politik/ausland/brasilien-praesident-jair-bolsonaro-tauscht-sechs-minister-auf-einmal-aus-a-991327a2-ba7f-45f5-a768-a0b3f0e7c433,brasilien präsident bolsonaro tauschen sechs minister,False,2021-03-30,Politik,Brasilien Präsident Bolsonaro tauscht sechs Minister auf einmal aus,Der Spiegel,0.8333333333333334,n/a
809,https://www.spiegel.de/wirtschaft/service/solaranlage-so-koennen-sie-damit-geld-sparen-a-0d2602a5-d6de-40df-a95c-ce84bc4c930c,tipps finanzexpertin solaranlage geld sparen,False,2021-03-30,Wirtschaft,Tipps von einer Finanzexpertin So können Sie mit einer Solaranlage Geld sparen,Der Spiegel,0.6,n/a
810,https://www.spiegel.de/wirtschaft/mario-draghi-und-emmanuel-macron-europas-neues-fuehrungsduo-a-ef7e4636-0de2-4224-8629-832268274df3,ende angela regina europas neu führungsduo dracon,False,2021-03-30,Wirtschaft,Das Ende von Angela Regina Europas neues Führungsduo Dracon,Der Spiegel,0.5714285714285714,n/a
811,https://www.spiegel.de/panorama/justiz/tulum-in-mexiko-polizisten-brachen-frau-das-genick-vier-festnahmen-a-a5439772-6ba5-46c0-9d6c-e67ce0b32bfb,tod einwanderin mexiko polizisten brach frau genick vier festnahmen,False,2021-03-30,Panorama,Tod einer Einwanderin in Mexiko Polizisten brachen Frau das Genick   vier Festnahmen,Der Spiegel,0.6666666666666666,n/a
815,https://www.spiegel.de/politik/ausland/corona-impferfolg-in-den-usa-wie-ist-das-leben-als-geimpfter-in-new-york-a-5635205c-8847-4e8a-a0e6-fb18a553bf0c,endlich gemeinsam essen feiern zanken leben geimpft new york,False,2021-03-31,Politik,Endlich wieder gemeinsam essen feiern und zanken Mein Leben als Geimpfter in New York,Der Spiegel,0.8888888888888888,n/a
818,https://www.spiegel.de/wirtschaft/corona-krise-bayerns-schuhlaeden-duerfen-nach-urteil-wieder-oeffnen-a-8198a67b-e6f2-4b83-a125-ab2af2ea9429,gerichtsentscheidung bayerns schuhläden dürfen öffnen,False,2021-03-31,Wirtschaft,Gerichtsentscheidung Bayerns Schuhläden dürfen öffnen,Der Spiegel,0.6,n/a
819,https://www.spiegel.de/politik/ausland/frankreich-macron-verkuendet-dritten-landesweiten-lockdown-a-5d74a0b2-5e8f-432b-8933-b341ff1bf9be,dritt corona lockdown frankreich machen dicht,False,2021-03-31,Politik,Dritter Corona Lockdown Frankreich macht dicht,Der Spiegel,1.0,n/a
821,https://www.spiegel.de/wissenschaft/medizin/astrazeneca-sind-zweitimpfungen-auch-mit-anderem-mittel-moeglich-a-e72c5666-3b99-42c8-ab8c-d70541ed9057,impf dilemma zweit mal astrazeneca,False,2021-03-31,Wissenschaft,Impf Dilemma Ein zweites Mal mit AstraZeneca,Der Spiegel,1.0,n/a
822,https://www.spiegel.de/politik/deutschland/armin-laschet-oder-markus-soeder-kampf-um-die-kanzlerkandidatur-a-4794c24c-c461-4b77-b39b-58c6ec73db7e,kampf kanzlerkandidatur laschet stecken defensive,False,2021-03-31,Politik,Kampf um die Kanzlerkandidatur Laschet steckt in der Defensive,Der Spiegel,0.8,n/a
824,https://www.spiegel.de/wirtschaft/unternehmen/mediamarkt-und-saturn-streichen-in-deutschland-bis-zu-tausend-stellen-a-4291264e-17b9-40f2-bb32-f2033193a1f7,elektromärkte mediamarkt saturn streichen deutschland tausend stellen,False,2021-03-31,Wirtschaft,Elektromärkte MediaMarkt und Saturn streichen in Deutschland bis zu tausend Stellen,Der Spiegel,0.5714285714285714,n/a
826,https://www.spiegel.de/wirtschaft/waehrungskrise-in-der-tuerkei-erdogan-hat-falsche-vorstellung-der-oekonomischen-zusammenhaenge-a-7593ee64-14ff-45b8-be03-d66f06326f10,währungskrise türkei erdoğan falsch vorstellung ökonomisch zusammenhänge,False,2021-03-31,Wirtschaft,Währungskrise in der Türkei Erdoğan hat eine falsche Vorstellung der ökonomischen Zusammenhänge,Der Spiegel,0.5714285714285714,n/a
827,https://www.spiegel.de/wirtschaft/biden-will-zwei-billionen-dollar-in-infrastruktur-investieren-a-1eff4dc5-4b6f-4e1c-b040-87760eb5c114,plan us präsidenten biden zwei billionen dollar infrastruktur investieren,False,2021-03-31,Wirtschaft,Plan des US Präsidenten Biden will zwei Billionen Dollar in Infrastruktur investieren,Der Spiegel,0.8888888888888888,n/a
828,https://www.spiegel.de/panorama/leute/paris-jackson-ueber-vater-michael-jackson-wenn-wir-fuenf-spielzeuge-wollten-mussten-wir-fuenf-buecher-lesen-a-c1a3885a-b9fd-400d-950f-6fdcfbaf0307,paris jackson vater michael fünf spielzeuge wollen mussten fünf bücher lesen,False,2021-03-31,Panorama,Paris Jackson über Vater Michael Wenn wir fünf Spielzeuge wollten mussten wir fünf Bücher lesen,Der Spiegel,0.7272727272727273,n/a
830,https://www.spiegel.de/politik/ausland/usa-das-leid-der-kinder-an-der-grenze-zu-mexiko-a-b465f51a-bbd6-4c44-b696-b019a1881d5e,lager us grenze mexiko leid kinder,False,2021-03-31,Politik,Lager an der US Grenze zu Mexiko Das Leid der Kinder,Der Spiegel,1.0,n/a
831,https://www.spiegel.de/wirtschaft/verdacht-auf-totschlags-des-vermieters-mietvertrag-darf-fristlos-gekuendigt-werden-a-9c5690c1-062f-454a-87cd-aeeb9ef25578,gerichtsentscheidung wer verdächtigen vermieter töten dürfen fristlos kündigen,False,2021-03-31,Wirtschaft,Gerichtsentscheidung Wer verdächtigt wird den Vermieter getötet zu haben dem darf fristlos gekündigt werden,Der Spiegel,0.625,n/a
832,https://www.spiegel.de/gesundheit/coronavirus-was-der-astrazeneca-impfstopp-fuer-juengere-bedeutet-a-def253b1-5db5-4ff4-a846-0e1a9da2e92c,covid 19 astrazeneca impfstopp jung weitergehen,False,2021-03-31,Gesundheit,Covid 19 Wie es nach dem AstraZeneca Impfstopp für Jüngere jetzt weitergeht,Der Spiegel,1.0,n/a
837,https://www.spiegel.de/politik/deutschland/news-des-tages-corona-lockerungen-im-sommer-bolsonaro-in-brasilien-klimakiller-sulfurylfluorid-a-f444d4ac-5e07-48c3-9d88-71999623cd3b,lage abend reeperbahn neun,False,2021-03-31,Politik,Die Lage am Abend Auf der Reeperbahn nur bis um neun,Der Spiegel,0.75,n/a
839,https://www.spiegel.de/politik/ausland/corona-belgien-muss-laut-gerichtsentscheid-saemtliche-einschraenkungen-binnen-30-tagen-aufheben-a-b978776d-9384-44fa-83de-0a8a60cfe49e,gerichtsentscheid belgien sämtliche corona einschränkungen binnen 30 tagen aufheben,False,2021-03-31,Politik,Gerichtsentscheid Belgien muss sämtliche Corona Einschränkungen binnen 30 Tagen aufheben,Der Spiegel,1.0,n/a
841,https://www.spiegel.de/politik/ausland/rassismusbericht-in-grossbritannien-opposition-wirft-boris-johnson-schoenfaerberei-vor-a-a6c701b1-36a5-4c06-a245-c0d8cddce1ac,rassismus bericht britische opposition werfen johnson schönfärberei,False,2021-03-31,Politik,Rassismus Bericht Britische Opposition wirft Johnson Schönfärberei vor,Der Spiegel,0.8571428571428571,n/a
843,https://www.spiegel.de/politik/ausland/coronavirus-in-portugal-wie-dem-land-die-komplette-kehrtwende-gelang-a-ba6b5b44-bbea-43f7-8726-1db8ed791652,hotspot niedriginzidenzland schaffen portugal corona kehrtwende,False,2021-03-31,Politik,Vom Hotspot zum Niedriginzidenzland So schaffte Portugal die Corona Kehrtwende,Der Spiegel,1.0,n/a
844,https://www.spiegel.de/wissenschaft/natur/klimawandel-japan-meldet-frueheste-kirschbluete-seit-1200-jahren-a-91a307a4-6841-4b35-9e4a-59755d0a9d50,klimawandel japan früh kirschblüte seit 1200 jahren,False,2021-03-31,Wissenschaft,Klimawandel in Japan Früheste Kirschblüte seit 1200 Jahren,Der Spiegel,0.8571428571428571,n/a
845,https://www.spiegel.de/wirtschaft/corona-homeoffice-rund-ein-drittel-der-beschaeftigten-blieb-im-maerz-zu-hause-a-295de0eb-d58e-47b2-a2eb-dad64804fad8,luft oben drittel beschäftigen märz homeoffice,False,2021-03-31,Wirtschaft,Noch viel Luft nach oben Ein Drittel der Beschäftigten war im März im Homeoffice,Der Spiegel,1.0,n/a
847,https://www.spiegel.de/panorama/bildung/cybermobbing-gegen-lehrerin-polizei-ermittelt-gegen-zehn-berufsschueler-a-78621b6c-58df-4f6b-826f-3c12f11d8831,cybermobbing polizei ermitteln zehn berufsschüler,False,2021-03-31,Panorama,Cybermobbing Polizei ermittelt gegen zehn Berufsschüler,Der Spiegel,0.6,n/a
849,https://www.spiegel.de/wissenschaft/medizin/corona-eu-arzneimittelbehoerde-ema-empfiehlt-impfstoff-von-astrazeneca-weiter-fuer-alle-altersgruppen-a-800be6ae-5400-4698-a451-85dd2a57516e,spezifisch risiko ema empfehlen astrazeneca impfstoff weiterhin altersgruppen,False,2021-03-31,Wissenschaft,Kein spezifisches Risiko Ema empfiehlt AstraZeneca Impfstoff weiterhin für alle Altersgruppen,Der Spiegel,1.0,n/a
851,https://www.spiegel.de/kultur/tv/armin-laschet-bei-markus-lanz-beschreibung-eines-kampfes-a-63cd1c97-0a65-464d-92b5-17a5f35aa4fa,armin laschet markus lanz interview stierkampf,False,2021-03-31,Kultur,Armin Laschet bei Markus Lanz Ein Interview wie ein Stierkampf,Der Spiegel,0.6666666666666666,n/a
853,https://www.spiegel.de/politik/deutschland/tuebingen-stoppt-corona-tagesticket-fuer-gaeste-a-07f34c39-b909-4c5e-aa41-4d1370d9f57e,modellprojekt tübingen stoppen corona tagesticket gäste,False,2021-03-31,Politik,Modellprojekt Tübingen stoppt Corona Tagesticket für Gäste,Der Spiegel,1.0,n/a
854,https://www.spiegel.de/netzwelt/netzpolitik/coronavirus-die-sieben-groessten-postpandemischen-baustellen-kolumne-a-55a4516e-c4b6-4bae-b847-95dd83b1e523,deutschlands umgang coronavirus sieben groß postpandemischen baustellen,False,2021-03-31,Netzwelt,Deutschlands Umgang mit dem Coronavirus Die sieben größten postpandemischen Baustellen,Der Spiegel,1.0,n/a
857,https://www.spiegel.de/wirtschaft/unternehmen/co2-abgabe-industrie-bekommt-100-millionen-euro-mehr-pro-jahr-a-839e5f1f-300d-4333-8da4-71c119e9a5a3,entlastung co₂ abgabe industrie bekommen 100 millionen euro mehr pro jahr,False,2021-03-31,Wirtschaft,Entlastung für CO₂ Abgabe Industrie bekommt 100 Millionen Euro mehr pro Jahr,Der Spiegel,0.7272727272727273,n/a
858,https://www.spiegel.de/wirtschaft/unternehmen/myanmar-deutscher-banknotenhersteller-stoppt-geschaeftsbeziehungen-a-fdad0d9f-c53d-4a88-ae2a-ca3fc539079d,banknotenhersteller gieseckedevrient stoppen lieferungen myanmar,False,2021-03-31,Wirtschaft,Banknotenhersteller GieseckeDevrient stoppt Lieferungen nach Myanmar,Der Spiegel,0.6,n/a
860,https://www.spiegel.de/panorama/corona-impfung-hausaerzte-in-bayern-starten-mit-33-600-dosen-von-astrazeneca-a-8bf63aab-e0b1-4bff-9750-9105246b2d07,coronakrise bayerns hausärzte beginnen impfungen laufen ab,False,2021-03-31,Panorama,Coronakrise Bayerns Hausärzte beginnen mit Impfungen   so läuft es ab,Der Spiegel,1.0,n/a
861,https://www.spiegel.de/panorama/wetter-an-ostern-hoch-odette-bringt-sonne-und-sinkende-temperaturen-a-a35da498-82a6-4ecf-9237-deeac40b681a,wetter feiertagen sonne ostern sinkend temperaturen,False,2021-03-31,Panorama,Wetter an den Feiertagen Sonne an Ostern   und sinkende Temperaturen,Der Spiegel,0.6666666666666666,n/a
864,https://www.spiegel.de/wissenschaft/medizin/corona-thrombosen-wie-die-astrazeneca-impfung-zu-blutgerinnseln-fuehren-koennte-a-4d61da4b-6545-4f87-b8e9-eac4f00994ce,hirnvenenthrombosen astrazeneca impfung blutgerinnseln fahren,False,2021-03-31,Wissenschaft,Hirnvenenthrombosen Wie die AstraZeneca Impfung zu Blutgerinnseln führen könnte,Der Spiegel,1.0,n/a
865,https://www.spiegel.de/netzwelt/apps/corona-warn-app-soll-bald-ergebnisse-von-schnelltests-zeigen-koennen-a-e7e0e7da-5a75-480f-bf96-5c84265e1079,geplant update corona warn app bald ergebnisse schnelltests zeigen,False,2021-03-31,Netzwelt,Geplantes Update Corona Warn App soll bald Ergebnisse von Schnelltests zeigen können,Der Spiegel,1.0,n/a
869,https://www.spiegel.de/politik/deutschland/corona-markus-soeder-und-winfried-kretschmann-fordern-konsequente-umsetzung-von-corona-massnahmen-a-69f1ea0b-57a6-4f6e-8384-95a25686b04c,kampf pandemie söder kretschmann richten corona appell ministerpräsidenten,False,2021-03-31,Politik,Kampf gegen die Pandemie Söder und Kretschmann richten Corona Appell an alle Ministerpräsidenten,Der Spiegel,1.0,n/a
872,https://www.spiegel.de/politik/deutschland/corona-hamburg-verhaengt-naechtliche-ausgangssperre-a-5162d661-cf44-4601-8d6b-173762b6fa74,scharf coronamaßnahmen hamburg verhängen nächtliche ausgangssperre,False,2021-03-31,Politik,Schärfere Coronamaßnahmen Hamburg verhängt nächtliche Ausgangssperre,Der Spiegel,1.0,n/a
873,https://www.spiegel.de/geschichte/tkkg-wird-40-warum-ich-kloesschen-sein-wollte-a-f70e298d-4add-402c-88c6-d7aa1726162c,hörspielserie tkkg 40 jahre alt warum klößchen,False,2021-03-31,Geschichte,Hörspielserie TKKG wird 40 Jahre alt Warum ich Klößchen sein wollte,Der Spiegel,0.5714285714285714,n/a
875,https://www.spiegel.de/wirtschaft/unternehmen/trotz-coronakrise-zahl-der-firmenpleiten-auf-niedrigstem-stand-seit-20-jahren-a-6cda4132-17c8-4328-92f6-844332f1264b,trotzen coronakrise zahl firmenpleiten niedrig stehen seit 20 jahren,False,2021-03-31,Wirtschaft,Trotz Coronakrise Zahl der Firmenpleiten auf niedrigstem Stand seit 20 Jahren,Der Spiegel,0.8888888888888888,n/a
876,https://www.spiegel.de/panorama/justiz/jeffrey-epstein-und-ghislaine-maxwell-sollen-maklerin-vor-den-augen-ihres-sohnes-vergewaltigt-haben-a-20e08572-788f-466e-9420-a1ef1388245e,weit vorwürfe epstein maxwell sollen frau augen sohnes vergewaltigen,False,2021-03-31,Panorama,Weitere Vorwürfe Epstein und Maxwell sollen Frau vor den Augen ihres Sohnes vergewaltigt haben,Der Spiegel,0.5555555555555556,n/a
877,https://www.spiegel.de/politik/ausland/brasilien-wenden-sich-die-generaele-von-jair-bolsonaro-ab-a-4d09f54a-18eb-4b12-80f1-17f80a33fae6,machtkampf brasilien wenden generäle bolsonaro ab,False,2021-03-31,Politik,Machtkampf in Brasilien Wenden sich die Generäle von Bolsonaro ab,Der Spiegel,0.8333333333333334,n/a
878,https://www.spiegel.de/panorama/justiz/george-floyd-prozess-zeugin-bricht-vor-gericht-in-traenen-aus-a-30d91440-1fc6-4aa4-b163-be48012d74e3,rettungssanitäterin george floyd prozess flehen verzweifeln,False,2021-03-31,Panorama,Rettungssanitäterin im George Floyd Prozess Ich habe gefleht ich war verzweifelt,Der Spiegel,0.6666666666666666,n/a
879,https://www.spiegel.de/wissenschaft/medizin/corona-impfstoff-biontech-wirkt-bei-jugendlichen-sehr-gut-a-8ff9f512-5189-4bbe-9f87-3cd5e17d1e5c,erste studienergebnisse biontech impfstoff wirken laut hersteller jugendlich gut,False,2021-03-31,Wissenschaft,Erste Studienergebnisse Biontech Impfstoff wirkt laut Hersteller bei Jugendlichen sehr gut,Der Spiegel,1.0,n/a
882,https://www.spiegel.de/politik/ausland/tuerkei-verfassungsgericht-weist-gergerlioglus-klage-gegen-mandatsentzug-ab-a-7868b354-ad23-493f-b5b1-de9eef2d01ba,mandatsentzug türkisch verfassungsgericht weisen klagen prokurdischem politiker ab,False,2021-03-31,Politik,Mandatsentzug Türkisches Verfassungsgericht weist Klage von prokurdischem Politiker ab,Der Spiegel,0.625,n/a
883,https://www.spiegel.de/politik/deutschland/saarland-radmuttern-am-auto-von-klaus-bouillon-gelockert-ermittlungen-eingestellt-a-5b1e19cd-3f24-45da-98ab-30e45235ba73,saarländisch innenminister ermittlungen mutmaßlich anschlagsversuch bouillon einstellen,False,2021-03-31,Politik,Saarländischer Innenminister Ermittlungen nach mutmaßlichem Anschlagsversuch auf Bouillon eingestellt,Der Spiegel,0.5714285714285714,n/a
887,https://www.spiegel.de/kultur/tv/nickelodeon-haelt-spongebob-folge-ueber-quarantaene-zurueck-a-ee14fed2-ff94-49cb-b04a-c22d639c4618,nahe realität nickelodeon halten spongebob folgen quarantäne zurück,False,2021-03-31,Kultur,Zu nahe an der Realität Nickelodeon hält SpongeBob Folge über Quarantäne zurück,Der Spiegel,0.75,n/a
889,https://www.spiegel.de/politik/ausland/europaeischer-gerichtshof-eu-kommission-verklagt-polen-wegen-justizgesetz-a-b1babec7-d7d1-440c-9a0f-5618aec03284,europäisch gerichtshof eu kommission verklagen polen wegen justizgesetz,False,2021-03-31,Politik,Europäischer Gerichtshof EU Kommission verklagt Polen wegen Justizgesetz,Der Spiegel,0.625,n/a
890,https://www.spiegel.de/netzwelt/gadgets/samsung-galaxy-a32-5g-und-realme-8-pro-im-test-showdown-in-der-250-euro-klasse-a-b9b3e937-bfda-4a74-98b3-06d848348c4c,samsung galaxy a32 5 g realme 8 pro test showdown 250 euro klasse,False,2021-03-31,Netzwelt,Samsung Galaxy A32 5G und Realme 8 Pro im Test Showdown in der 250 Euro Klasse,Der Spiegel,0.5384615384615384,n/a
