,url,headline,is_paid,date_published,channel,original_headline,newspaper,corona_score,vaccine
664,https://www.spiegel.de/politik/deutschland/corona-in-deutschland-karl-lauterbach-fordert-letzten-harten-lockdown-a-19f44d79-a1c7-4cc7-ad30-521d040cdc98,dritt wellen spd gesundheitsexperte lauterbach fordern letzt harten lockdown,False,2021-03-29,Politik,Dritte Welle SPD Gesundheitsexperte Lauterbach fordert letzten harten Lockdown,Der Spiegel,1.0,n/a
666,https://www.spiegel.de/wirtschaft/einzelhaendler-fordern-einkaufsgutschein-fuer-jeden-buerger-a-c0193174-518d-4ccb-a104-268511137590,konjunkturspritze einzelhändler fordern einkaufsgutschein bürger,False,2021-03-29,Wirtschaft,Konjunkturspritze Einzelhändler fordern Einkaufsgutschein für jeden Bürger,Der Spiegel,0.6,n/a
668,https://www.spiegel.de/politik/ausland/mosambik-dschihadisten-uebernehmen-kontrolle-von-palma-in-cabo-delgado-a-15e97b7d-0430-449a-a79e-cf4aff90dd6c,dutzende tot tausende evakuieren dschihadisten übernehmen kontrolle küstenstadt mosambik,False,2021-03-29,Politik,Dutzende Tote Tausende evakuiert Dschihadisten übernehmen Kontrolle von Küstenstadt in Mosambik,Der Spiegel,0.5555555555555556,n/a
669,https://www.spiegel.de/politik/deutschland/erste-cdu-abgeordnete-fuer-soeder-als-kanzlerkandidat-a-36160f3e-d7ec-40d0-af81-e6e643ed283a,krise union erste cdu abgeordnet söder kanzlerkandidat,False,2021-03-29,Politik,Krise der Union Erste CDU Abgeordnete für Söder als Kanzlerkandidat,Der Spiegel,1.0,n/a
671,https://www.spiegel.de/politik/deutschland/mallorca-boris-palmer-fuer-quarantaenepflicht-nach-auslandsurlaub-a-1840aa0a-4f8c-40e7-a901-ef528357875b,reiserückkehrer coronapandemie palmer quarantänepflicht auslandsurlaub,False,2021-03-29,Politik,Reiserückkehrer in der Coronapandemie Palmer für Quarantänepflicht nach Auslandsurlaub,Der Spiegel,0.6,n/a
672,https://www.spiegel.de/wissenschaft/natur/australien-satellitenbilder-zeigen-ueberschwemmungen-in-der-region-um-sydney-a-e5755edc-f7f0-49af-8882-99d8812661c4,satellitenbild woche land australien,False,2021-03-29,Wissenschaft,Satellitenbild der Woche Land unter in Australien,Der Spiegel,0.75,n/a
673,https://www.spiegel.de/wirtschaft/brexit-stoppt-exporte-vieler-kleinerer-unternehmen-umfrage-a-b86b1c96-a6c5-4e7a-8d99-91e737df0558,umfrage brexit stoppen exporte viel klein unternehmen,False,2021-03-29,Wirtschaft,Umfrage Brexit stoppt Exporte vieler kleinerer Unternehmen,Der Spiegel,1.0,n/a
675,https://www.spiegel.de/panorama/gesellschaft/sinsheim-3500-menschen-bei-querdenker-demo-387-platzverweise-a-002eb4c9-ea62-4f50-8b9a-a5b6cf700c92,querdenker demo sinsheim 3500 demonstranten 600 anzeigen 387 platzverweise,False,2021-03-29,Panorama,Querdenker Demo in Sinsheim 3500 Demonstranten 600 Anzeigen 387 Platzverweise,Der Spiegel,0.5555555555555556,n/a
676,https://www.spiegel.de/wissenschaft/medizin/coronavirus-news-sieben-tage-inzidenz-steigt-auf-134-4-a-0e8c3db1-3348-41f9-b8b4-07a40fe7256a,corona news montag kanada einschränkungen astrazeneca empfehlen,False,2021-03-29,Wissenschaft,Corona News am Montag Auch Kanada will Einschränkungen bei AstraZeneca empfehlen,Der Spiegel,1.0,n/a
678,https://www.spiegel.de/politik/deutschland/news-angela-merkel-corona-krise-george-floyd-tuebingen-boris-palmer-a-66e98f75-54e8-4bfe-b280-1d6bd79e1705,lage morgen merkel regieren öffentlichkeit,False,2021-03-29,Politik,Die Lage am Morgen Merkel regiert jetzt mit der Öffentlichkeit,Der Spiegel,1.0,n/a
679,https://www.spiegel.de/reise/fernweh/fotowettbewerb-der-minimalisten-die-besten-bilder-in-schwarz-weiss-a-61301f06-e112-4c0a-8d8a-85fb0420c2b8,wettbewerb minimalisten welt schwarz weiß,False,2021-03-29,Reise,Wettbewerb der Minimalisten Die Welt in Schwarz Weiß,Der Spiegel,0.8,n/a
683,https://www.spiegel.de/politik/ausland/donald-trump-ex-stabschef-mick-mulvaney-verurteilt-aussagen-als-offensichtlich-falsch-a-548b943a-8fa0-4987-baa3-6ffa53479a7e,sturm us kapitol ex stabschef verurteilen trumps aussagen offensichtlich falsch,False,2021-03-29,Politik,Sturm auf das US Kapitol Ex Stabschef verurteilt Trumps Aussagen als offensichtlich falsch,Der Spiegel,0.8,n/a
684,https://www.spiegel.de/kultur/tv/angela-merkel-bei-anne-will-zwischen-orakelei-und-ohnmacht-a-55dfd5a5-37f5-4a7d-a4b8-27a1031cc3a5,angela merkel anne orakelei ohnmacht,False,2021-03-29,Kultur,Angela Merkel bei Anne Will Zwischen Orakelei und Ohnmacht,Der Spiegel,1.0,n/a
685,https://www.spiegel.de/politik/ausland/myanmar-joe-biden-nennt-bluttaten-gegen-zivilisten-absolut-abscheulich-a-53c8dcb9-3eb9-4683-9673-595066d5fdbc,gewalt zivilisten biden nennen bluttaten myanmar absolut abscheulich,False,2021-03-29,Politik,Gewalt gegen Zivilisten Biden nennt Bluttaten in Myanmar absolut abscheulich,Der Spiegel,0.625,n/a
686,https://www.spiegel.de/politik/deutschland/corona-krise-markus-soeder-unterstuetzt-angela-merkels-drohung-gegen-die-laender-a-8fb59c7b-f96a-4a6d-9dfb-5540b508aad9,infektionsschutzgesetz söder unterstützen drohung kanzlerin länder,False,2021-03-29,Politik,Infektionsschutzgesetz Söder unterstützt Drohung der Kanzlerin gegen die Länder,Der Spiegel,0.6666666666666666,n/a
688,https://www.spiegel.de/wissenschaft/medizin/was-wir-von-der-spanischen-grippe-lernen-koennen-a-b53569b6-0002-0001-0000-000176746272,pandemielehren seuchenpapstes hundert jahre alt forschungsaufsatz lernen,False,2021-03-29,Wissenschaft,Pandemielehren des Seuchenpapstes Was wir aus einem hundert Jahre alten Forschungsaufsatz lernen können,Der Spiegel,0.5714285714285714,n/a
691,https://www.spiegel.de/politik/deutschland/corona-impfung-angela-merkel-und-das-astrazeneca-debakel-a-8995acc9-46d3-463a-87af-21039106d257,beschlüsse astrazeneca impfungen doppeln astra volte,False,2021-03-30,Politik,Beschlüsse zu AstraZeneca Impfungen Die doppelte Astra Volte,Der Spiegel,1.0,n/a
