,title,subtitle,date_published,url,is_paid
27,"
							Steigt die Kurve nur, weil Labore mehr testen?
			        ","
						Nimmt die Zahl der Corona-Infizierten so stark zu, weil die Labore mehr denn je testen? Fachleute bezweifeln das. Denn ein Blick auf die Daten gibt keinen Anlass zu Optimismus.
					",2020-10-16T09:02:13+0200,https://www.faz.net/suche/positive-corona-tests-warum-die-quote-entscheidend-ist-17003319.html,true
28,"
							Schwere Vorwürfe an Cristiano Ronaldo
			        ","
						Weil er eigenständig von der Nationalmannschaft zurück nach Turin zu seinem Verein geflogen ist, steht Fußballstar Cristiano Ronaldo in der Kritik. Italiens Sportminister erhebt Anschuldigungen. 
					",2020-10-16T08:52:03+0200,https://www.faz.net/premiumContent?contentId=1.7004498,false
29,"
							Worauf Anleger heute an der Börse schauen
			        ","
						Der Vortag war düster für die Aktienmärkte, die Angst vor Corona und dem Lockdown meldete zurück. Grenzt der Dax am letzten Handelstag der Woche die Verluste ein?

					",2020-10-16T08:23:13+0200,https://www.faz.net/premiumContent?contentId=1.7004482,false
30,"
							Warum dürfen viele Millionen Amerikaner nicht wählen?
			        ","
						Wir beantworten Ihre Fragen zur Amerika-Wahl. In dieser Folge auch: Ist dieses Mal eine hohe Wahlbeteiligung zu erwarten? Und warum muss man sich zuerst registrieren?
					",2020-10-16T07:36:00+0200,https://www.faz.net/premiumContent?contentId=1.7002174,false
31,"
							Die Buchmesse 2021 ist das Problem
			        ","
						Die Buchmesse 2020 war eine Messe des Probierens und Versuchs. Daraus muss nächstes Jahr wieder eine wirtschaftlich tragfähige Veranstaltung werden.
					",2020-10-16T07:30:57+0200,https://www.faz.net/suche/die-buchmesse-2021-muss-wirtschaftlich-tragfaehig-werden-17003536.html,true
32,"
							Airbus will mit Wasserstoff fliegen
			        ","
						Der Autozulieferer Elring-Klinger arbeitet mit Airbus an einem Brennstoffzellenantrieb. Ein Flugzeug ohne CO2-Ausstoß könnte bis 2035 möglich werden.
					",2020-10-16T07:22:12+0200,https://www.faz.net/suche/co2-ausstoss-airbus-will-mit-wasserstoff-fliegen-17003624.html,true
33,"
							In Schleswig-Holstein gilt Beherbergungsverbot weiter
			        ","
						In einem Bundesland nach dem anderen fallen die Auflagen für Urlauber aus Corona-Hotspots. Auch Bayerns Markus Söder gibt den Regeln keine Zukunft mehr. Doch ein Gericht im hohen Norden stemmt sich gegen den Trend und lehnt den Eilantrag einer Familie ab, die nach Sylt wollte.
					",2020-10-16T07:10:38+0200,https://www.faz.net/premiumContent?contentId=1.7004350,false
34,"
							Der 500-Euro-Schein hält sich zäh
			        ","
						Was ist eigentlich aus dem 500-Euro-Schein geworden? Vor anderthalb Jahren haben die Notenbanken Europas aufgehört, ihn drucken zu lassen. Doch es gibt ihn weiter – nicht nur als kurioses Sammlerstück bei Ebay.
					",2020-10-16T07:06:23+0200,https://www.faz.net/suche/der-500-euro-schein-haelt-sich-zaeh-17003656.html,true
35,"
							Aus der Töngesgasse in die Welt
			        ","
						Das Lebensmittelunternehmen Nestlé sucht nach einem neuen Standort. Die persönliche Beziehung des Gründers zu Frankfurt sollte das Unternehmen in der Stadt halten.
					",2020-10-16T07:00:00+0200,https://www.faz.net/premiumContent?contentId=1.7003542,false
36,"
							RKI meldet mit mehr als 7000 Neuinfektionen wieder Höchstwert
			        ","
						Die Corona-Infektionszahlen in Deutschland schnellen weiter in die Höhe. Der erst gestern vermeldete Rekordwert wird mit 7334 bereits übertroffen.
					",2020-10-16T06:38:31+0200,https://www.faz.net/premiumContent?contentId=1.7004396,false
37,"
							Zeit für neue Corona-Zahlen
			        ","
						Zur Beurteilung der Corona-Lage wird ein weiterer Wert wichtig. Drei Bundesländer kippen die Beherbergungsverbote. Und in Brüssel tagt die Europäische Union. Alles Wichtige im Newsletter für Deutschland.
					",2020-10-16T06:21:34+0200,https://www.faz.net/premiumContent?contentId=1.7004095,false
38,"
							1000 Besucher dürfen mit Maske bummeln
			        ","
						Der „Hochheimer Herbst“ wird nach Angaben der Stadt  auch unter strengeren Corona-Vorgaben stattfinden. Verkäufer sollen auch in diesem Jahr ihre Waren anbieten können. 
					",2020-10-16T06:00:00+0200,https://www.faz.net/premiumContent?contentId=1.7003938,false
39,"
							Wenn der Präsident nicht antworten will
			        ","
						Eigentlich hätte die zweite Präsidentschaftsdebatte angestanden. Trumps Corona-Erkrankung brachte die Pläne durcheinander. So traten er und Herausforderer Biden gleichzeitig, aber getrennt voneinander vor die Kameras und beantworteten Fragen – oder auch nicht.
					",2020-10-16T05:42:38+0200,https://www.faz.net/premiumContent?contentId=1.7004391,false
40,"
							Valeo will jeden Vierten entlassen
			        ","
						Der Autozulieferer Valeo mit Sitz in Paris plant im Taunus den Abbau von 150 Stellen – in Frankreich dagegen verzichtet er darauf. In Deutschland hat das Unternehmen 8000 Beschäftigte. 
					",2020-10-16T05:00:00+0200,https://www.faz.net/premiumContent?contentId=1.7003932,false
41,"
							„Es geht hier gerade um die Wurst“
			        ","
						Er hatte die große Corona-Runde im Kanzleramt beraten – und ist enttäuscht über die Beschlüsse. Die Menschen müssten nun freiwillig mehr tun, sagt Infektionsforscher Michael Meyer-Hermann. Sonst stünden die großen Probleme erst noch bevor.
					",2020-10-16T03:30:05+0200,https://www.faz.net/premiumContent?contentId=1.7004354,false
42,"
							Lüften – aber wie?
			        ","
						Fenster gekippt lassen oder hin und wieder aufreißen? Das Umweltbundesamt hat eine genau Anleitung formuliert. Nicht nur für Schulen ist sie bedeutsam.
					",2020-10-15T22:15:30+0200,https://www.faz.net/premiumContent?contentId=1.7003580,false
43,"
							Sieht aus wie im Film
			        ","
						Pastös, symmetrisch und irgendwie surreal: Eine Instagram-Community macht überall auf der Welt Bilder, die mit der Ästhetik des legendären Filmemachers Wes Anderson spielen. Wally Koval hat sie in einem Buch zusammengetragen.
					",2020-10-15T21:44:51+0200,https://www.faz.net/premiumContent?contentId=1.6993946,false
44,"
							Um Schlimmeres abzuwenden
			        ","
						Müssen die Bürger vorsichtiger sein, als es die Politiker auf dem „historischen“ Corona-Gipfel beschlossen haben? Ja, sie sollten den Appell an ihre Selbstverantwortung unbedingt beherzigen.

					",2020-10-15T21:25:56+0200,https://www.faz.net/suche/corona-beschluesse-in-berlin-um-schlimmeres-abzuwenden-17003485.html,true
45,"
							„Das Virus nervt!“
			        ","
						In Frankfurt gelten neue Corona-Regelungen. Das schweizerische Unternehmen Nestlé sucht eine neue Niederlassung für seine Deutschlandzentrale. Die Buchmesse findet trotz Corona statt, jedoch fast nur digital. Das und was sonst noch wichtig ist in Rhein-Main, steht in der F.A.Z.-Hauptwache. 
					",2020-10-15T21:02:00+0200,https://www.faz.net/premiumContent?contentId=1.7003916,false
46,"
							„In der Eifel kontrolliert der Nachbar immer mit“
			        ","
						Kaum irgendwo in Deutschland ist der Anteil der Corona-Infizierten so hoch wie in der Eifel. Michael Billen ist Beigeordneter des Kreises Bitburg-Prüm. Er erklärt, wie sich so viele anstecken konnten und was die Verwaltung dagegen unternimmt.
					",2020-10-15T21:01:36+0200,https://www.faz.net/premiumContent?contentId=1.7003422,false
47,"
							Slowakische Parlamentarier sollen Trinkwasser aus WC-Räumen holen
			        ","
						Der slowakische Parlamentspräsident hat den Abgeordneten den Zutritt zur Kantine untersagt – weil diese Kritik an den Corona-Maßnahmen im Land geübt hatten. Nun sollen sie sich in den WC-Räumen mit Trinkwasser versorgen.
					",2020-10-15T20:36:40+0200,https://www.faz.net/premiumContent?contentId=1.7004218,false
48,"
							Merkels verlorene Schlacht
			        ","
						Kaum eine Maßnahme ist derzeit so umstritten wie das Beherbergungsverbot. Wie diskutierten die Bundeskanzlerin und die Ministerpräsidenten am Mittwoch darüber? Einblicke ins Kanzleramt.
					",2020-10-15T20:20:50+0200,https://www.faz.net/suche/beherbergungsverbot-wie-kam-es-zu-dem-beschluss-im-kanzleramt-17003603.html,true
49,"
							Leben vor der Kamera
			        ","
						„Social Distance“ zeigt die Sollbruchstellen einer Gesellschaft, die Nähe zu simulieren versucht. Dabei ist das Zuschauen oft so unangenehm wie das reale Phänomen selbst.
					",2020-10-15T20:10:04+0200,https://www.faz.net/premiumContent?contentId=1.7002076,false
50,"
							Auch Saarland kippt Beherbergungsverbot
			        ","
						Das Beherbergungsverbot war seit Beginn in der Kritik – nun haben Gerichte in Baden-Württemberg und Niedersachsen Klagen dagegen stattgegeben. In Sachsen und im Saarland nahmen die Landesregierungen die Einschränkung zurück.
					",2020-10-15T19:19:43+0200,https://www.faz.net/premiumContent?contentId=1.7003054,false
51,"
							Kampagne für verbindliche Frauenquote
			        ","
						Die gesetzliche Frauenquote muss her. Ein Netzwerk einflussreicher Frauen versucht mit dem Hashtag „ich will“ das Gesetzesvorhaben voranzubringen. 
					",2020-10-15T19:12:29+0200,https://www.faz.net/suche/kampagne-fuer-verbindliche-frauenquote-ichwill-17003823.html,true
52,"
							Der DIHK darf sich nur wirtschaftspolitisch einmischen
			        ","
						Wie weit darf die Einflussnahme von Lobbyisten gehen? Ein neues Urteil setzt den Spitzenverbänden enge Grenzen. 
					",2020-10-15T18:47:17+0200,https://www.faz.net/suche/der-dihk-darf-sich-nur-wirtschaftspolitisch-einmischen-lobbyismus-17003855.html,true
53,"
							Queen zeigt sich wieder in der Öffentlichkeit
			        ","
						Die 94-jährige Queen Elizabeth II. war erstmals seit dem Ausbruch der Corona-Pandemie wieder bei einem öffentlichen Termin.
					",2020-10-15T18:30:48+0200,https://www.faz.net/suche/queen-wieder-in-der-oeffentlichkeit-aber-ohne-maske-17004663.html,false
54,"
							Wassermangel auf der Tesla-Baustelle
			        ","
						Seit Monaten warnen Gegner der Fabrik, durch den Elektroautohersteller werde das Wasser in der Region knapp. Jetzt dreht der Wasserversorger Tesla den Hahn ab – aus einem profanen Grund.
					",2020-10-15T17:54:24+0200,https://www.faz.net/premiumContent?contentId=1.7003325,false
